ground_truth_alert_id,scenario_id,account_id,transaction_id,expected_typology,expected_detection,expected_network_involvement,network_root_account_id,expected_network_depth
GTA-6J4AMM,SCN-ASW-001,ACC-ZAQ8H3X,TXN-P5N4BO1,account_swap,SUSPECTED_ALERT,NO,,0
GTA-V3GPXY,SCN-ASW-002,ACC-HGP8IY3,TXN-25XAP3P,account_swap,SUSPECTED_ALERT,NO,,0
GTA-RDC2TA,SCN-ASW-003,ACC-H3FNBDV,TXN-O7MTV1A,account_swap,SUSPECTED_ALERT,NO,,0
GTA-C1Y14M,SCN-ASW-003,ACC-H3FNBDV,TXN-O7MTV1A,smurfing,SUSPECTED_ALERT,YES,ACC-H3FNBDV,1
GTA-V6ACN6,SCN-ASW-004,ACC-VKE6H76,TXN-7S9SUAM,account_swap,SUSPECTED_ALERT,NO,,0
GTA-T0BDVZ,SCN-RSMF-001,ACC-B5UL5NW,TXN-Q56GF24,reverse_smurfing,SUSPECTED_ALERT,YES,ACC-W81XE6V,3
GTA-YYKNR5,SCN-RSMF-001,ACC-BRCL472,TXN-RO4LN6S,reverse_smurfing,SUSPECTED_ALERT,YES,ACC-W81XE6V,3
GTA-XGM463,SCN-RSMF-001,ACC-HMUH8LM,TXN-PTHTSX6,reverse_smurfing,SUSPECTED_ALERT,YES,ACC-W81XE6V,3
GTA-GE7W61,SCN-RSMF-001,ACC-W81XE6V,TXN-EY33Y7P,reverse_smurfing,SUSPECTED_ALERT,YES,ACC-W81XE6V,3
GTA-4YGRP1,SCN-RSMF-002,ACC-P39JYM6,TXN-B2NRDJ9,reverse_smurfing,SUSPECTED_ALERT,YES,ACC-P39JYM6,1
GTA-8GDX7M,SCN-SMF-001,ACC-DPFF5E8,TXN-NAAMLC5,smurfing,SUSPECTED_ALERT,YES,ACC-DPFF5E8,2
GTA-0JK3C0,SCN-SMF-001,ACC-XSK28T7,TXN-96A8UZA,smurfing,SUSPECTED_ALERT,YES,ACC-DPFF5E8,2
GTA-N3BVMV,SCN-SMF-002,ACC-KGYC4OM,TXN-9HK8Q5O,smurfing,SUSPECTED_ALERT,YES,ACC-KGYC4OM,1
